id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
229,,2625,10,5,1,1624.52,-,263502.43,fecha_formato_invalido
231,,2790,73,7,3,1.72995,,161771.05,fecha_formato_invalido
232,,1421,17,7,4,1.54613,"170,23",176385.79,fecha_formato_invalido
233,,2619,42,4,6,27767.0,"63,81",54.03444,fecha_formato_invalido
234,,2270,68,3,9,, 157.51 ,380.74851,fecha_formato_invalido
235,,2895,65,8,2,,,193621.53,fecha_formato_invalido
236,,2906,18,7,3,235.8,42.67,25121.58,fecha_formato_invalido
238,,1485,30,4,4,1779.97,"368,63",334475.3,fecha_formato_invalido
239,,1236,77,10,8,760.38,,111154.53,fecha_formato_invalido
240,,536,15,6,10,,180.09,79238.61,fecha_formato_invalido
241,,657,22,3,4,, 199.83 ,,"monto_asegurado_error,fecha_formato_invalido"
242,,1884,61,12,8,548.88,77.84,32829.84,fecha_formato_invalido
243,2025-10-09,634,16,14,3,1585.52, 283.81 ,,monto_asegurado_error
244,,1804,18,7,5,,133.24,81691.01,fecha_formato_invalido
245,,2704,51,1,5,,274.71,41044.61,fecha_formato_invalido
246,,2695,40,14,7,735.39,"59,42",,"monto_asegurado_error,fecha_formato_invalido"
247,,924,49,5,11,,131.17,274013.46,fecha_formato_invalido
248,,1011,64,10,4,1846.72,,320537.24,fecha_formato_invalido
249,,1500,73,4,6,,-,,"monto_asegurado_error,fecha_formato_invalido"
250,,1771,63,14,3,424.38,72.81,,"monto_asegurado_error,fecha_formato_invalido"
251,,1262,68,1,5,601.96,120.32,,"monto_asegurado_error,fecha_formato_invalido"
252,,1575,33,14,8,1422.87,76.42,,"monto_asegurado_error,fecha_formato_invalido"
253,,1563,59,10,10,792.74,145.28,71091.98,fecha_formato_invalido
254,,917,23,1,6,1.04239, 132.79 ,,"monto_asegurado_error,fecha_formato_invalido"
255,,2003,60,1,2,275.48,,,"monto_asegurado_error,fecha_formato_invalido"
256,,2083,71,12,9,, 326.26 ,,"monto_asegurado_error,fecha_formato_invalido"
257,,2855,25,14,7,,"132,40",17.04513,fecha_formato_invalido
258,,1821,50,7,10,555.6,"92,60",37.62189,fecha_formato_invalido
259,,148,17,5,1,1560.57,,170.30172,fecha_formato_invalido
260,2025-01-14,971,57,13,6,59533.0, 132.98 ,,monto_asegurado_error
261,,2956,78,2,4,843.81,106.28,165.11946,fecha_formato_invalido
262,,1441,1,12,7,,,,"monto_asegurado_error,fecha_formato_invalido"
263,,828,38,15,7,961.19,172.58,65328.26,fecha_formato_invalido
264,,2337,80,8,5,267.35,45.16,43006.11,fecha_formato_invalido
265,,184,62,13,9,264.84,,20928.09,fecha_formato_invalido
266,,1750,12,5,5,46918.0,53.62,82199.39,fecha_formato_invalido
267,,761,60,1,12,836.8,,67062.51,fecha_formato_invalido
268,,1635,13,14,4,1161.47,87.66,126085.89,fecha_formato_invalido
269,,1685,65,8,1,0.0,132.50,112445.07,fecha_formato_invalido
270,,168,64,1,8,1.07904,,153797.15,fecha_formato_invalido
271,,1773,43,11,5,1395.69,-,101033.61,fecha_formato_invalido
272,,2717,50,13,5,52912.0,126.80,,"monto_asegurado_error,fecha_formato_invalido"
273,,2346,41,12,10,470.44, 42.33 ,,"monto_asegurado_error,fecha_formato_invalido"
274,,222,16,12,6,359.96,,49248.02,fecha_formato_invalido
275,,1637,46,5,1,1958.02,109.40,249654.56,fecha_formato_invalido
276,,482,19,14,11,1238.05,,149205.72,fecha_formato_invalido
278,,1832,27,10,9,, 150.96 ,319716.88,fecha_formato_invalido
279,,770,66,14,3,901.35,-,39362.62,fecha_formato_invalido
281,,1387,2,14,12,1.5363,"234,29",108632.52,fecha_formato_invalido
282,,1190,6,4,6,10219.0,"24,17",,"monto_asegurado_error,fecha_formato_invalido"
283,,254,65,13,12,31150.0,"25,08",,"monto_asegurado_error,fecha_formato_invalido"
284,,1163,16,3,4,1052.91,"83,89",75.72787,fecha_formato_invalido
286,,631,43,6,10,480.94,110.77,90139.34,fecha_formato_invalido
287,,605,62,7,6,434.82,"27,20",30.84823,fecha_formato_invalido
289,,2696,62,12,7,,52.21,143.98906,fecha_formato_invalido
290,,326,61,2,6,,339.80,,"monto_asegurado_error,fecha_formato_invalido"
291,,281,54,1,9,,,132725.63,fecha_formato_invalido
292,,1514,27,3,1,365.44,39.10,9478.09,fecha_formato_invalido
294,,2129,13,13,7,,212.49,100787.99,fecha_formato_invalido
295,,764,52,7,5,987.43,,164812.9,fecha_formato_invalido
296,,1812,77,13,11,,47.20,99.61128,fecha_formato_invalido
297,,1573,79,4,10,1252.38,146.52,45753.53,fecha_formato_invalido
298,,2390,2,14,9,,396.87,,"monto_asegurado_error,fecha_formato_invalido"
299,,2724,18,5,7,1142.36,88.50,,"monto_asegurado_error,fecha_formato_invalido"
300,,1233,67,6,8,1027.81,"61,97",69674.38,fecha_formato_invalido
301,,1579,72,11,1,,18.74,4988.88,fecha_formato_invalido
302,,679,60,1,6,, 86.07 ,83.62121,fecha_formato_invalido
303,,2931,13,14,6,317.71,"31,74",11090.61,fecha_formato_invalido
304,,917,41,15,9,673.03, 106.80 ,89286.47,fecha_formato_invalido
305,,2007,76,12,12,142.86,161.20,8185.49,fecha_formato_invalido
307,,78,24,6,10,1259.85, 87.10 ,50.83692,fecha_formato_invalido
308,,905,6,7,2,71.14,14.24,12.91064,fecha_formato_invalido
309,,980,20,1,5,529.37,91.01,52844.12,fecha_formato_invalido
310,,355,53,6,6,1044.88, 139.70 ,48271.62,fecha_formato_invalido
311,,236,19,8,12,662.47, 34.15 ,,"monto_asegurado_error,fecha_formato_invalido"
312,,1894,10,13,2,1.94437,129.58,,"monto_asegurado_error,fecha_formato_invalido"
313,,2852,30,1,11,1736.83,,122859.35,fecha_formato_invalido
314,,444,68,4,1,,28.88,48398.37,fecha_formato_invalido
315,,282,9,6,12,644.32, 97.22 ,103239.66,fecha_formato_invalido
316,,3776,1,6,8,1431.9, 177.07 ,106644.92,fecha_formato_invalido
317,2025-01-17,2621,19,2,8,70.91,17.25,,monto_asegurado_error
318,,380,58,11,9,779.52,,79294.65,fecha_formato_invalido
319,,2874,9,1,11,726.96,,122532.96,fecha_formato_invalido
320,,2637,64,1,9,1.22421,261.15,183.73297,fecha_formato_invalido
321,,830,48,8,1,1344.7,"1,724.81",266633.14,fecha_formato_invalido
323,,2484,29,7,1,1195.89, 76.06 ,83832.92,fecha_formato_invalido
324,,689,68,1,6,,391.80,260739.67,fecha_formato_invalido
325,,531,13,2,10,, 126.53 ,,"monto_asegurado_error,fecha_formato_invalido"
326,,2429,22,3,1,74050.0,-,,"monto_asegurado_error,fecha_formato_invalido"
328,,2035,34,9,8,,201.21,,"monto_asegurado_error,fecha_formato_invalido"
329,,1584,78,10,10,965.87,,80283.34,fecha_formato_invalido
331,,2628,51,9,3,1055.42,-,169.84549,fecha_formato_invalido
332,,2249,63,5,8,1033.15,,124531.25,fecha_formato_invalido
333,,2372,29,2,8,1.30734,198.89,105.13168,fecha_formato_invalido
334,,1976,64,12,8,1.5729,255.61,,"monto_asegurado_error,fecha_formato_invalido"
335,,282,43,8,6,,"18,72",20333.48,fecha_formato_invalido
337,2025-07-24,3574,35,4,10,1304.27,"136,32",,monto_asegurado_error
339,,2571,76,4,6,924.18,222.40,53.44043,fecha_formato_invalido
340,,1514,51,1,11,23039.0,"56,57",21695.02,fecha_formato_invalido
341,,14,23,2,4,716.28,71.72,64.52932,fecha_formato_invalido
342,,1132,50,7,1,1840.74,-,343602.22,fecha_formato_invalido
343,,1809,74,13,6,261.29,"22,99",11502.8,fecha_formato_invalido
344,,1385,52,2,7,1053.46,243.44,85054.56,fecha_formato_invalido
345,2025-08-11,1606,47,12,1,323.93, 38.26 ,,monto_asegurado_error
346,,1529,61,9,3,1.15335,220.03,,"monto_asegurado_error,fecha_formato_invalido"
347,,1108,65,2,5,,"13,60",9304.45,fecha_formato_invalido
348,,1317,20,1,2,1.66625, 356.84 ,,"monto_asegurado_error,fecha_formato_invalido"
349,,2133,51,7,6,1.26727,,182975.67,fecha_formato_invalido
350,,1119,74,2,6,423.21,33.82,17.12402,fecha_formato_invalido
351,,2186,22,15,4,615.15,97.58,115731.56,fecha_formato_invalido
352,,335,32,13,3,69.55, 5.42 ,4481.9,fecha_formato_invalido
353,,1274,18,10,12,435.91,"108,35",81976.35,fecha_formato_invalido
354,,2871,64,8,3,19633.0,27.44,15872.78,fecha_formato_invalido
355,,2758,77,12,8,1934.73,-,316696.31,fecha_formato_invalido
357,,2655,25,11,11,374.5,"81,21",44517.01,fecha_formato_invalido
358,,2665,30,2,9,1.24768,154.02,77.7899,fecha_formato_invalido
359,,3785,8,6,1,,-,,"monto_asegurado_error,fecha_formato_invalido"
361,,702,21,15,6,1186.26,,65607.3,fecha_formato_invalido
362,,2822,46,2,12,1422.8, 332.01 ,35.09158,fecha_formato_invalido
363,,2480,2,14,6,,148.66,160600.88,fecha_formato_invalido
364,,707,28,11,9,26847.0,"41,13",26697.38,fecha_formato_invalido
365,,2794,41,15,3,1910.72,141.40,348.83715,fecha_formato_invalido
366,,844,31,2,1,1.99281,300.46,97957.19,fecha_formato_invalido
367,,2182,13,9,1,52474.0,70.05,62.17408,fecha_formato_invalido
368,,2229,12,8,1,312.7,"32,01",,"monto_asegurado_error,fecha_formato_invalido"
369,,1959,2,4,11,300.3, 16.25 ,16.15236,fecha_formato_invalido
370,,185,3,5,7,53.79,2.82,3905.87,fecha_formato_invalido
371,,602,17,11,4,,-,,"monto_asegurado_error,fecha_formato_invalido"
373,,1870,21,1,5,1038.02, 98.58 ,72125.71,fecha_formato_invalido
374,,465,69,9,11,10971.0, 26.59 ,13.62302,fecha_formato_invalido
375,,1358,80,4,10,,63.40,,"monto_asegurado_error,fecha_formato_invalido"
376,,3527,73,6,5,110.64,"14,62",12500.24,fecha_formato_invalido
377,,2290,36,3,1,1389.23,-,,"monto_asegurado_error,fecha_formato_invalido"
378,,1868,60,12,9,1755.33,276.66,288662.01,fecha_formato_invalido
379,,573,2,15,5,9225.0, 18.56 ,,"monto_asegurado_error,fecha_formato_invalido"
380,,1145,13,15,1,1907.5,"471,37",227.66264,fecha_formato_invalido
381,,243,34,10,9,858.13,57.01,141.53721,fecha_formato_invalido
382,,1204,29,13,1,,73.38,163339.83,fecha_formato_invalido
383,,234,34,13,4,,"73,81",108825.24,fecha_formato_invalido
384,,1158,68,2,2,1.86173, 346.31 ,57.06912,fecha_formato_invalido
385,,2090,16,3,8,76605.0, 50.66 ,127959.71,fecha_formato_invalido
386,,117,43,4,7,,21.80,43701.61,fecha_formato_invalido
387,,48,63,2,4,1487.16, 267.57 ,84325.7,fecha_formato_invalido
389,,581,53,13,12,216.28,,,"monto_asegurado_error,fecha_formato_invalido"
390,,2187,14,5,10,1.18203,,89798.89,fecha_formato_invalido
391,,2575,43,15,11,, 59.01 ,30926.4,fecha_formato_invalido
392,,1062,38,15,3,,79.40,109.42504,fecha_formato_invalido
393,,1157,7,1,7,6698.0,"10,96",11874.36,fecha_formato_invalido
394,,1895,76,4,9,735.69, 132.66 ,53150.39,fecha_formato_invalido
395,,1038,46,12,4,1225.95,71.97,191272.59,fecha_formato_invalido
396,,588,51,3,6,1353.44,309.33,,"monto_asegurado_error,fecha_formato_invalido"
397,,2761,77,9,9,,,26.51038,fecha_formato_invalido
398,,1255,78,12,12,1796.91,"345,46",150449.96,fecha_formato_invalido
399,,2988,14,9,4,308.81, 24.40 ,44128.8,fecha_formato_invalido
400,,1674,35,12,1,1544.57,,42133.22,fecha_formato_invalido
401,,1435,1,3,12,1745.43,-,260632.03,fecha_formato_invalido
402,,1721,63,8,5,405.99, 71.04 ,,"monto_asegurado_error,fecha_formato_invalido"
403,,1714,75,3,2,,-,45428.93,fecha_formato_invalido
404,,1407,28,14,8,,42.22,19368.57,fecha_formato_invalido
405,,2328,47,1,8,1.26426,275.94,131.57543,fecha_formato_invalido
406,2025-09-22,1393,7,15,3,1384.51,194.90,,monto_asegurado_error
407,,618,23,1,9,1327.66,-,234.80196,fecha_formato_invalido
408,,1694,5,3,4,45892.0, 97.55 ,,"monto_asegurado_error,fecha_formato_invalido"
409,,686,26,1,9,-1075.26,65.95,105494.6,fecha_formato_invalido
410,,1818,66,11,9,,,98.74466,fecha_formato_invalido
411,,177,38,10,8,393.15,,37.04034,fecha_formato_invalido
412,,2826,18,1,5,1596.8,373.29,219135.53,fecha_formato_invalido
413,,1069,25,15,5,1229.31,"110,93",151597.25,fecha_formato_invalido
415,,2645,56,8,11,344.91, 46.82 ,65854.06,fecha_formato_invalido
416,,297,21,5,10,46488.0,101.67,45376.39,fecha_formato_invalido
417,2025-10-07,60,35,8,1,620.81, 90.95 ,,monto_asegurado_error
418,,206,29,11,12,360.12,86.63,69683.94,fecha_formato_invalido
419,,111,71,13,6,942.78,142.54,116621.23,fecha_formato_invalido
