id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
1369,2025-11-06,2599,20,11,1,1947.73,"2.417,69",333898.58
1373,2025-09-07,923,18,13,1,1370.8, 160.63 ,167038.57
1377,2025-05-30,2002,44,3,9,,279.02,319.6462
1382,2025-03-04,2010,31,11,4,76144.0,"67,94",34700.69
1383,2025-10-11,2030,71,8,2,942.34,60.02,73.74603
1395,2025-01-04,22,9,9,11,1388.48, 71.57 ,156142.96
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1416,2025-07-26,280,36,12,4,,"146,34",302927.86
1444,2025-01-04,224,4,7,10,1724.41,398.29,246.82217
1445,2025-05-12,1306,46,7,6,,"35,07",15142.25
1449,2025-05-01,31,24,9,5,160.0,12.62,17670.8
1454,2025-09-06,2203,74,4,8,1167.22,284.19,145.9664
1463,2025-08-06,1776,47,10,10,1784.43, 309.88 ,50319.13
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1482,2025-03-27,776,67,5,4,,107.16,138.65192
1483,2025-02-02,2626,62,5,8,,"114,79",89558.77
1497,2025-04-15,831,22,15,8,11681.0,-,19.47094
1500,2025-10-07,2369,43,9,7,1.23916,"212,62",245302.03
1510,2025-09-15,929,79,5,9,,285.27,73.28698
1528,2025-01-11,2563,44,1,8,1518.43,-,292610.75
1537,2025-12-09,3821,6,6,2,74.62,15.94,11459.21
1561,2025-10-15,3817,14,8,8,,,48916.1
1569,2025-08-18,2326,31,5,7,1099.41,82.99,151.11655
1587,2026-01-02,1781,62,4,1,1506.63,,176051.43
1588,2025-05-19,844,12,15,3,1376.68,310.93,64519.62
1604,2025-11-03,354,16,9,7,367.22,"72,10",40366.29
1606,2026-01-31,1387,59,6,2,1.89652,"175,23",211.67811
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1628,2025-06-20,2048,51,10,4,157.56, 24.35 ,9256.94
1629,2025-04-07,2806,11,6,12,59997.0,-,43706.84
1642,2025-02-25,574,66,13,12,1824.72,"168,57",326.77847
1654,2026-01-28,591,26,11,6,1373.54,203.59,47.74418
1657,2026-01-31,3761,14,8,2,1.58459,,140017.68
1664,2025-01-29,1538,15,2,6,64260.0,-,128326.78
1670,2025-10-29,690,50,13,7,611.72, 123.84 ,104.28313
1680,2025-07-27,1422,72,2,2,1996.04,,311938.91
1684,2025-02-18,2231,48,4,4,270.73,"17,73",25082.98
1685,2025-12-18,437,66,5,9,1870.58,"410,98",117.46394
1686,2025-09-24,1913,9,7,7,428.51, 73.83 ,64001.48
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1713,2025-03-25,413,51,13,12,1.48763,"344,03",238195.71
1714,2025-06-30,2142,27,12,7,, 12.67 ,30564.27
1717,2025-12-28,571,120,1,11,1778.76,,147489.3
1721,2025-12-20,966,30,1,10,1398.59,,105979.44
1736,2025-10-05,2742,22,11,3,, 112.96 ,20071.81
1748,2025-05-18,843,14,14,4,,-,42934.58
1749,2025-12-26,1495,73,14,10,951.81,-,49431.88
1761,2025-07-20,2286,50,8,10,-1552.88,309.24,66184.0
1762,2025-07-12,350,72,3,6,1954.59,,354944.73
1764,2025-12-30,1330,14,10,4,424.39,,69369.92
1769,2026-01-21,2800,45,11,10,,321.45,50756.11
1775,2025-06-17,2921,52,1,12,310.84,67.60,19315.0
1782,2025-03-18,1937,59,1,2,1864.27,"221,58",354074.1
1788,2026-02-03,1696,45,1,3,1734.03,"297,88",126757.4
1793,2025-10-23,2293,24,15,4,1.23861,,219274.04
1794,2025-07-04,1501,46,11,11,1.96746,125.14,62.85857
1800,2025-07-14,1029,67,11,8,32635.0,32.00,51097.71
1803,2025-05-01,2786,18,15,4,1720.84,,311.8853
1810,2025-04-15,894,60,4,11,63022.0,,65686.43
1820,2025-06-29,82,41,5,5,,66.39,89.48822
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.3, 62.54 ,10767.82
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.7
1844,2025-06-09,2646,75,15,3,, 31.38 ,85660.11
1848,2025-03-16,1900,19,4,6,321.51,33.46,62.20218
1850,2025-07-12,2349,79,5,9,52738.0,,59201.58
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1871,2026-01-24,1159,62,4,1,1.78493,"385,11",215267.86
1874,2025-01-19,1081,13,7,2,,"77,82",46.2551
1883,2025-06-25,157,6,3,3,1.14324,275.09,77884.13
1884,2025-06-27,333,72,15,11,12417.0,26.92,20466.14
1888,2025-04-27,83,7,9,2,1592.37,,95501.87
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1894,2025-01-13,1335,12,5,4,1.33582,"206,24",68993.54
1900,2025-02-27,741,13,5,7,525.73,78.76,71917.4
1909,2025-04-19,1225,39,13,7,1070.48,,21793.61
1912,2025-01-05,2668,72,5,2,1433.21,344.96,88369.28
1926,2025-08-28,2109,41,9,1,419.3,"29,39",57025.51
1928,2025-09-21,14,4,5,2,54957.0,"132,34",30152.71
1929,2026-02-06,33,34,13,3,1889.05,402.01,354610.2
1931,2025-12-26,1298,11,12,11,538.11,,51.41976
1942,2025-01-25,1415,17,2,10,-1076.43,"186,76",57824.4
1943,2025-01-11,667,75,4,4,44554.0,56.80,81602.05
1945,2025-03-30,1992,36,3,3,23951.0,44.15,9622.16
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1959,2025-03-28,1978,66,5,12,190.64, 41.81 ,26704.85
1968,2025-07-30,2224,50,7,11,,"135,16",192537.19
1974,2025-06-06,1620,48,13,3,256.11,,22.26597
1977,2025-07-26,884,77,15,2,818.87, 144.40 ,107.68827
1978,2025-10-26,1674,38,14,8,,"54,77",9065.32
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1991,2025-07-17,366,77,7,3,220.74, 18.55 ,43252.05
2000,2025-08-09,1491,73,13,6,1181.87,"133,77",29112.33
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2010,2025-12-15,552,44,5,8,1735.07,"424,50",137950.79
2022,2025-10-25,443,32,14,12,1857.25,"373,58",368693.78
2047,2025-10-05,2004,61,4,12,1935.32,-,47796.85
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.5
2060,2026-02-20,520,58,15,10,,929.20,88728.15
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2071,2026-02-11,2424,55,6,12,1173.5,"77,39",44741.52
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2111,2025-12-29,2730,49,7,12,80704.0,"174,02",32303.05
2113,2025-08-06,253,4,8,5,1.05565,247.32,182688.17
2117,2025-06-07,2005,3,2,11,20493.0,13.67,11360.18
2132,2025-05-03,1018,47,11,11,50962.0,"28,40",68155.35
2136,2025-03-22,1893,35,15,7,-163.0,16.17,11889.33
2146,2025-02-11,2538,48,8,10,1.34848,,164157.44
2151,2025-07-25,1449,68,11,3,,-,6761.22
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.3
2154,2025-08-30,1849,32,2,2,68.24,5.73,11.60117
2161,2025-02-06,2554,10,11,12,49742.0, 97.87 ,92.425
2165,2025-08-13,577,36,3,1,980.87, 95.14 ,189390.39
2171,2025-05-25,14,36,15,7,787.02, 43.71 ,24744.99
2184,2025-08-03,1071,35,3,4,1329.37, 315.07 ,153324.29
2196,2025-03-19,1562,27,15,3,, 30.41 ,45606.48
2199,2025-09-27,695,69,9,3,960.43,,65.90201
2211,2025-09-09,3570,68,11,6,,72.36,86.72104
2215,2025-01-29,1145,16,10,4,844.72,42.54,131419.39
2217,2026-01-02,2213,41,15,9,1793.35, 191.21 ,96108.85
2221,2025-02-26,6,39,11,9,,227.42,99450.56
2232,2025-05-24,1312,47,5,10,21938.0,"44,07",12710.05
2240,2025-08-24,2338,50,10,4,1250.81,,88214.75
2243,2025-11-09,2954,70,11,11,15799.0, 29.32 ,6262.35
2244,2025-06-06,1758,4,4,7,1759.11,159.27,88677.1
2252,2026-02-14,15,51,4,6,603.99,-,74420.02
2255,2025-06-25,1793,26,11,1,1924.99,"323,96",246.55371
2259,2025-06-15,1997,40,10,3,-1649.25,154.77,191749.44
2268,2025-03-30,400,7,10,5,,80.21,41775.86
2269,2025-03-03,2135,55,14,1,, 101.72 ,271561.89
2270,2026-01-26,1736,2,1,12,,78.98,68351.82
2273,2025-10-13,1836,34,6,10,387.16,-,47.68082
2277,2025-02-12,1467,36,8,10,1177.05,,211501.81
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2294,2025-01-05,201,3,5,8,1428.44,91.41,175455.19
2297,2025-11-16,528,52,7,10,366.62, 35.48 ,16176.98
2305,2025-03-25,652,49,15,10,663.22,42.86,90.76758
2315,2025-11-30,1754,63,3,10,1946.72,,312339.96
2337,2025-08-14,939,5,10,1,690.86,"65,54",118345.74
2343,2025-11-13,241,76,12,4,1400.27, 184.79 ,209277.57
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2350,2025-08-22,479,2,7,9,556.79,74.96,97943.93
2368,2025-12-16,1115,10,14,8,476.98,"83,30",78664.25
2369,2025-05-24,449,22,10,7,1963.29,,252.18308
2381,2026-01-19,1579,38,14,12,1561.68,,291076.59
2385,2025-02-05,518,13,1,2,1935.37,389.80,40.68816
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2408,2025-10-21,771,36,5,10,1433.76, 91.05 ,196648.66
2409,2025-03-13,1329,44,15,6,, 101.90 ,147089.39
2449,2025-07-17,319,26,7,9,41201.0, 92.98 ,80772.99
2452,2025-04-06,146,39,1,7,1690.41,-,289283.89
2456,2025-02-25,1757,61,4,5,1.9291,336.06,231.00425
2460,2025-12-29,1601,9,1,10,,287.80,169847.05
2468,2025-07-12,1253,6,12,1,854.6,"203,70",33393.55
2478,2025-12-20,1827,12,11,5,176.01,,32.58496
2496,2025-09-11,162,61,4,10,1259.17,154.61,77.9041
2511,2025-07-29,1682,43,9,11,200.67, 44.08 ,26.48537
2512,2026-02-01,1759,74,6,5,,"129,73",216031.53
2541,2025-07-11,1435,18,5,9,,"117,30",23780.03
2545,2025-03-19,2922,34,13,7,,115.38,198148.13
2547,2025-02-04,2699,67,14,10,,-,111316.39
2551,2025-07-08,1533,61,8,11,,-,292184.95
2552,2025-05-20,904,41,15,12,1.51666,"150,47",179053.33
2561,2025-11-12,1697,18,4,4,,35.54,55074.44
2566,2025-01-05,816,59,7,1,1836.96,309.39,230589.2
2580,2025-10-19,927,21,7,10,630.34, 114.89 ,47.37188
2587,2026-01-27,1603,30,13,5,1792.6,"441,74",320.21567
2605,2025-05-14,1689,38,13,3,139.94,7.35,14.03301
2618,2025-10-03,1716,10,1,2,67.34,6.06,2.59913
2635,2025-05-02,429,31,5,7,659.0,153.47,84782.07
2641,2025-07-30,1664,65,1,8,487.2,"59,29",82246.9
2644,2025-05-15,321,48,14,8,1475.75,-,161.24388
2652,2025-05-31,2524,33,11,12,653.39,115.58,55807.76
2655,2026-01-01,1180,38,6,2,,112.23,259668.18
2656,2025-08-05,1772,37,13,10,97761.0,,111898.78
2658,2026-01-17,1799,45,7,9,1778.86, 307.11 ,276373.38
2661,2026-01-31,2046,41,2,2,1267.47,197.35,221361.08
2665,2025-02-17,1647,80,2,8,1963.38,,238.90533
2679,2025-11-24,2683,74,14,5,1638.42,395.88,222861.58
2680,2025-04-03,3710,28,2,6,1280.19,229.44,48994.84
2683,2025-09-17,411,42,5,11,66.25,11.28,12899.69
2688,2025-01-31,1174,41,11,9,414.79,"25,71",38317.55
2690,2025-09-15,1113,17,14,7,1764.72,"438,48",329827.71
2692,2025-07-21,2001,8,13,10,614.34,"39,28",59376.03
2703,2025-11-24,1794,45,13,4,1594.12,,191030.25
2706,2025-07-02,1735,62,8,11,1604.73,285.50,86340.91
2711,2025-11-27,807,33,10,3,1388.27,127.91,188932.31
2714,2025-04-16,812,38,11,11,422.81,41.64,60069.7
2724,2026-01-27,940,24,6,3,942.91,"93,19",93519.49
2726,2025-05-04,2910,26,12,8,, 59.21 ,16597.33
2732,2025-04-25,1292,29,7,1,867.01,130.12,164699.99
2736,2025-08-31,2916,21,12,10,660.08, 52.05 ,22.40383
2738,2025-02-11,3721,80,15,8,1405.84,"149,65",159373.81
2740,2025-09-05,2835,51,3,1,1.4129,,73046.49
2747,2025-10-16,2754,69,5,1,,72.79,48191.77
2765,2025-02-15,1449,27,2,6,1.92991,98.94,299.8668
2766,2025-06-18,1629,9,5,2,1995.92,276.03,226.975
2773,2025-11-07,2001,35,3,11,,"101,45",166678.88
2778,2026-02-05,1497,30,4,11,1.37783,283.22,27599.11
2784,2025-10-23,2284,32,2,12,236.17,46.36,18551.71
2793,2025-02-28,2716,73,12,1,539.22,"55,45",66540.17
2797,2026-02-11,1522,80,4,10,1093.93, 156.72 ,207.79288
2802,2025-07-03,2179,17,7,4,1896.56,,279510.04
2804,2025-12-26,2243,9,3,9,, 90.31 ,341990.77
2819,2026-02-07,2587,40,5,11,315.54,-,57.50917
2822,2025-09-27,2767,44,7,12,-1391.96, 206.45 ,149315.34
2835,2025-01-14,1538,80,11,1,, 161.89 ,85.48233
2836,2025-02-02,1064,28,7,5,888.0, 145.35 ,131733.7
2838,2025-01-08,1999,75,8,12,545.79,"96,54",101.15245
2844,2025-11-21,213,49,14,4,1230.45,-,140747.22
2881,2025-05-14,1396,78,9,3,217.63,,18.64875
2893,2025-07-22,2997,77,2,8,1314.17, 113.54 ,130116.17
2926,2025-01-05,713,46,2,6,958.81,"70,10",162.11882
2931,2025-07-13,1005,75,11,1,75.38,"17,68",2893.7
2932,2025-04-19,2461,5,7,11,51.68,9.37,8808.87
2954,2025-09-21,2667,15,14,1,694.14, 158.53 ,118657.32
2957,2025-02-19,2943,42,2,4,, 84.44 ,149002.08
2958,2025-12-17,934,50,2,9,1.54862,190.73,196445.78
2960,2025-04-27,685,73,1,1,1585.79,318.31,233027.76
2963,2025-09-05,1258,34,8,12,, 11.97 ,10485.13
2967,2025-01-05,2198,46,2,2,29780.0,42.57,54508.11
2974,2025-09-26,1708,12,10,9,, 23.40 ,47337.58
2977,2025-08-25,720,69,10,3,,101.88,118.49452
2981,2025-02-25,1010,73,4,5,1.85685,189.37,259330.79
2995,2025-03-21,3506,50,6,10,,,130462.15
2997,2025-04-10,2297,76,6,4,638.65,"106,84",21.80815
3001,2025-07-03,2066,63,3,4,800.01,79.69,70.0122
3018,2025-03-19,2053,72,1,11,494.99,"39,90",10154.67
3023,2025-01-08,169,11,13,2,22373.0,,41.33382
3038,2025-09-08,309,47,8,8,502.75,37.50,53512.46
3041,2025-12-03,2238,59,6,11,1095.55,100.53,156740.15
3047,2025-12-22,41,36,8,11,,"280,12",32770.46
3049,2025-03-30,710,7,9,10,, 256.90 ,35633.12
3050,2025-03-07,80,53,9,7,,130.33,68552.64
3056,2025-03-03,2514,65,14,8,,"341,44",329335.7
3057,2025-01-29,1351,44,7,8,1.54086,127.78,66335.26
3063,2025-05-18,35,6,7,3,,20.93,58.64063
3066,2025-12-24,2007,38,6,4,91551.0, 55.36 ,141.39665
3075,2025-02-23,1907,65,10,3,87964.0,"94,20",26.33859
3081,2025-12-17,2221,66,2,6,,"22,60",32.47097
3090,2025-10-19,2811,34,7,12,250.51,33.76,29.2877
3100,2025-12-17,1070,36,15,3,1420.43, 127.12 ,30257.1
3101,2025-03-26,1023,24,1,10,1986.01,,335.53966
3108,2025-08-28,2100,65,9,12,1255.55, 309.67 ,226894.73
3110,2025-04-22,2722,37,9,1,1.31828, 269.93 ,209.55421
3113,2025-11-16,231,46,4,1,56134.0,,88985.96
3131,2025-09-14,233,9,6,6,1223.14, 101.75 ,100.88718
3136,2025-07-09,1899,42,5,12,,,50935.91
3154,2025-12-26,1172,74,13,5,43921.0,"23,11",13710.21
3160,2026-01-03,71,14,13,11,43220.0,,70611.7
3178,2025-04-11,181,20,13,3,43364.0,"88,35",28166.77
3181,2025-06-01,2429,59,6,2,1387.89,301.61,176677.66
3185,2025-06-19,616,5,12,5,,87.43,85.98513
3195,2025-02-14,706,69,1,9,,140.80,125223.4
3200,2025-11-22,2397,60,3,8,424.75,-,27014.56
3202,2025-03-04,1300,47,7,11,1710.46, 241.31 ,262.11849
3207,2026-01-07,2476,18,9,2,1.01233,"148,64",70547.54
3220,2025-11-18,2128,47,9,6,942.0,"228,48",81745.52
3221,2026-01-12,2540,21,14,10,1.36594, 90.86 ,157.2423
3226,2025-07-30,2820,6,5,10,,"66,44",180106.58
3227,2025-07-22,349,63,3,9,1565.17, 120.80 ,42629.09
3228,2025-05-09,187,24,8,2,0.0,205.07,63.20035
3229,2025-05-14,160,2,12,12,461.92,"84,89",90.20159
3252,2025-12-22,1175,38,13,7,1230.91,"210,98",166.12745
3256,2026-01-28,1962,45,6,9,56645.0,,76124.17
